ip_address,hostname,mac_address,owner,device_type,criticality_score,criticality_status,is_internet_facing,hardware_vendor,os_name,os_version,open_ports
10.20.1.1,fw-vanilla-main,00:1A:2B:3C:10:01,Network Team / netops@vanilla.com,network,9,Critical,true,Fortinet,FortiOS,7.4,22/tcp 443/tcp 8443/tcp
10.20.1.2,rtr-vanilla-core,00:1A:2B:3C:10:02,Network Team / netops@vanilla.com,network,7,High,false,Cisco,IOS XE,17.9,22/tcp 179/tcp 443/tcp
10.20.1.3,dist-sw-core-van,00:1A:2B:3C:10:03,Network Team / netops@vanilla.com,network,7,High,false,Cisco,IOS XE,17.9,22/tcp 443/tcp
10.20.1.4,wifi-ap-lobby,00:1A:2B:3C:10:04,Network Team / netops@vanilla.com,network,6,Medium,false,Ubiquiti,UniFi OS,3.2,22/tcp 80/tcp 443/tcp
10.20.2.1,dist-sw-servers,00:1A:2B:3C:20:01,Network Team / netops@vanilla.com,network,6,Medium,false,Cisco,IOS XE,17.9,22/tcp 443/tcp
10.20.2.2,dc-vanilla-01,00:2C:3D:4E:20:01,IT Admin / admin@vanilla.com,server,6,Medium,false,Dell,Windows Server,2022,22/tcp 88/tcp 389/tcp 443/tcp 3389/tcp
10.20.2.3,webserver-ext,00:2C:3D:4E:20:02,DevOps / devops@vanilla.com,server,7,High,true,Dell,Ubuntu,22.04,22/tcp 80/tcp 443/tcp
10.20.3.1,dist-sw-floor1,00:1A:2B:3C:30:01,Network Team / netops@vanilla.com,network,7,High,false,Cisco,IOS,15.2,22/tcp 23/tcp
10.20.3.2,ws-finance-01,00:3E:4F:5A:30:01,Finance / finance@vanilla.com,workstation,4,Medium,false,Dell,Windows,11,3389/tcp
10.20.3.3,cctv-lobby,00:4A:5B:6C:30:01,Security / security@vanilla.com,iot,4,Medium,false,Hikvision,Linux,4.1,80/tcp 443/tcp 554/tcp
